12:00 pm,83°
1:00 pm,85°
2:00 pm,85°
3:00 pm,85°
4:00 pm,86°
5:00 pm,86°
6:00 pm,85°
7:00 pm,84°
8:00 pm,83°
9:00 pm,78°
10:00 pm,77°
11:00 pm,76°
12:00 am,75°
11:00 am,82°
12:00 pm,74°
1:00 am,74°
2:00 am,74°
3:00 am,74°
4:00 am,74°
5:00 am,74°
6:00 am,73°
7:00 am,73°
8:00 am,75°
9:00 am,76°
10:00 am,79°
11:00 am,81°
12:00 pm,84°
1:00 pm,86°
2:00 pm,88°
3:00 pm,87°
4:00 pm,84°
5:00 pm,85°
6:00 pm,83°
7:00 pm,83°
8:00 pm,83°
9:00 pm,79°
10:00 pm,77°
11:00 pm,75°
12:00 am,74°
1:00 am,74°
2:00 am,73°
3:00 am,73°
4:00 am,72°
5:00 am,72°
6:00 am,71°
7:00 am,70°
8:00 am,72°
9:00 am,73°
10:00 am,75°
11:00 am,78°
12:00 pm,80°
